TIME,X,Y,Z
20210720:00:11:08:364,-5.235988E-5,-1.2217305E-4,-1.0471976E-4
20210720:00:11:08:365,6.981317E-5,-1.7453292E-5,-1.7453292E-4
20210720:00:11:08:369,-8.726646E-5,-8.726646E-4,6.806784E-4
20210720:00:11:08:372,5.235988E-5,2.9670598E-4,-5.235988E-5
20210720:00:11:08:378,2.0943952E-4,-3.8397242E-4,-3.4906585E-5
20210720:00:11:08:382,-5.235988E-5,3.6651915E-4,1.2217305E-4
20210720:00:11:08:385,6.981317E-5,8.2030473E-4,-7.6794485E-4
20210720:00:11:08:388,-8.3775807E-4,2.6179937E-4,-1.0471976E-4
20210720:00:11:08:392,-1.7453292E-4,-8.3775807E-4,2.443461E-4
20210720:00:11:08:397,1.7453292E-4,-4.363323E-4,-1.2217305E-4
20210720:00:11:08:401,-3.8397242E-4,1.0471976E-4,-5.061455E-4
20210720:00:11:08:404,-1.0471976E-4,5.9341197E-4,-2.443461E-4
20210720:00:11:08:408,1.9198621E-4,8.726646E-5,-3.3161257E-4
20210720:00:11:08:414,-5.061455E-4,-4.1887903E-4,-2.2689281E-4
20210720:00:11:08:417,-3.1415926E-4,-5.235988E-5,2.2689281E-4
20210720:00:11:08:421,1.7453292E-5,0.0,-3.1415926E-4
20210720:00:11:08:425,2.0943952E-4,0.0,2.7925268E-4
20210720:00:11:08:428,-9.424778E-4,-6.1086525E-4,-2.9670598E-4
20210720:00:11:08:432,-5.061455E-4,-3.4906585E-5,8.726646E-5
20210720:00:11:08:436,1.2217305E-4,-1.7453292E-4,-1.3962634E-4
20210720:00:11:08:441,-8.3775807E-4,-1.3962634E-4,-5.061455E-4
20210720:00:11:08:444,1.2217305E-4,-1.7453292E-5,5.235988E-5
20210720:00:11:08:448,3.4906584E-4,0.0,-1.5707963E-4
20210720:00:11:08:452,8.901179E-4,0.0,2.443461E-4
20210720:00:11:08:456,9.250245E-4,4.363323E-4,3.1415926E-4
20210720:00:11:08:461,-2.6179937E-4,9.5993106E-4,0.0
20210720:00:11:08:465,-7.15585E-4,1.5707963E-4,-2.9670598E-4
20210720:00:11:08:468,2.7925268E-4,1.7453292E-5,-2.0943952E-4
