TIME,X,Y,Z
20210720:00:54:27:928,0.08140285,0.19372922,9.750971
20210720:00:54:27:929,0.07015011,0.2017546,9.753144
20210720:00:54:27:932,0.07162494,0.1925417,9.754304
20210720:00:54:27:936,0.07694965,0.19024327,9.753144
20210720:00:54:27:940,0.08290642,0.1899847,9.746316
20210720:00:54:27:944,0.080904864,0.2038136,9.734097
20210720:00:54:27:949,0.085702844,0.1881651,9.755597
20210720:00:54:27:960,0.071193986,0.19525194,9.762444
20210720:00:54:27:961,0.089715526,0.2033635,9.754533
20210720:00:54:27:961,0.08221689,0.20440736,9.759657
20210720:00:54:27:965,0.0954233,0.20386147,9.753431
20210720:00:54:27:968,0.083078794,0.20617908,9.754256
20210720:00:54:27:976,0.08965807,0.20062453,9.761399
20210720:00:54:27:977,0.08580819,0.20288466,9.759657
20210720:00:54:27:980,0.08758948,0.19350895,9.750492
20210720:00:54:28:005,0.08310753,0.19645862,9.743529
20210720:00:54:28:006,0.0773806,0.21794897,9.747111
20210720:00:54:28:006,0.07580043,0.202492,9.739852
20210720:00:54:28:006,0.069383964,0.20568107,9.743242
20210720:00:54:28:007,0.08728302,0.21469286,9.744563
20210720:00:54:28:007,0.0931536,0.23048502,9.747313
20210720:00:54:28:008,0.08565496,0.21019176,9.758632
20210720:00:54:28:012,0.09130528,0.19318335,9.755796
20210720:00:54:28:016,0.088604614,0.20228131,9.739489
20210720:00:54:28:020,0.0900986,0.18877801,9.757522
20210720:00:54:28:024,0.08585607,0.18851943,9.744238
20210720:00:54:28:028,0.08803,0.19536684,9.754667
20210720:00:54:28:032,0.09416874,0.20842962,9.743491
20210720:00:54:28:036,0.07692091,0.20613119,9.742361
20210720:00:54:28:040,0.091008395,0.19699492,9.756601
20210720:00:54:28:044,0.081422016,0.19212031,9.746345
20210720:00:54:28:049,0.07716991,0.2173552,9.749947
20210720:00:54:28:052,0.076518685,0.19717687,9.749409
20210720:00:54:28:056,0.08626787,0.18909405,9.750243
